The Expat,/biz/the-expat-new-york-2?osq=Restaurants,$$,4.0,113,['Harlem'],,True,"64 Tiemann Pl New York, NY 10027"
Fumo,/biz/fumo-new-york-5?osq=Restaurants,$$,4.0,209,['Manhattan Valley'],A,True,"2791 Broadway New York, NY 10025"
Momofuku Ssam Bar,/biz/momofuku-ssam-bar-new-york-6?osq=Restaurants,$$$,4.0,110,['South Street Seaport'],N/A,True,"89 South St Pier 17 New York, NY 10038"
Mido Japanese,/biz/mido-japanese-new-york-3?osq=Restaurants,$$,4.0,263,['Upper West Side'],N/A,True,"612 Amsterdam Ave Bet. West 89 St and West 90 St New York, NY 10024"
Salma,/biz/salma-new-york?osq=Restaurants,$$,4.5,149,['East Village'],,True,"351 E 12th St New York, NY 10003"
Kong Sihk Tong 港食堂,/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?osq=Restaurants,$,4.0,638,['Chinatown'],A,True,"65 Bayard St New York, NY 10013"
Benemon,/biz/benemon-new-york?osq=Restaurants,$$,4.5,696,['East Village'],,True,"108 E 4th St New York, NY 10003"
Verōnika,/biz/ver%C5%8Dnika-new-york-2?osq=Restaurants,$$$$,4.0,53,['Flatiron'],,True,"281 Park Ave S 22nd St Entrance Second Floor New York, NY 10010"
Tsuru Ton Tan,/biz/tsuru-ton-tan-new-york?osq=Restaurants,$$,4.0,2256,['Union Square'],N/A,True,"21 E 16th St New York, NY 10003"
Amused,/biz/amused-new-york?osq=Restaurants,$$,4.0,30,['Upper West Side'],,True,"142 W 83rd St New York, NY 10024"
Los Tacos No.1,/biz/los-tacos-no-1-new-york-3?osq=Restaurants,$,4.5,2618,['Theater District'],A,True,"229 W 43rd St New York, NY 10036"
Omusubi Gonbei,/biz/omusubi-gonbei-new-york-3?osq=Restaurants,$,4.5,105,['Midtown East'],,True,"370 Lexington Ave New York, NY 10017"
The Roadside Grill,/biz/the-roadside-grill-new-york-2?osq=Restaurants,$,4.5,16,['Upper East Side'],,True,"68th St and Lexington Ave New York, NY 10021"
Made In New York Pizza,/biz/made-in-new-york-pizza-new-york?osq=Restaurants,$,4.5,492,['Upper West Side'],A,True,"421 Amsterdam Ave New York, NY 10024"
Mila Cafe,/biz/mila-cafe-new-york?osq=Restaurants,$,4.0,156,['Upper West Side'],A,True,"694 Columbus Ave New York, NY 10025"
Pommes Frites,/biz/pommes-frites-new-york-2?osq=Restaurants,$,4.5,1097,['Greenwich Village'],A,True,"128 Macdougal St New York, NY 10012"
Joe’s Steam Rice Roll,/biz/joes-steam-rice-roll-new-york-5?osq=Restaurants,$,4.5,173,['Upper West Side'],A,True,"422 Amsterdam Ave New York, NY 10024"
Munchiez by Mei Lai Wah,/biz/munchiez-by-mei-lai-wah-new-york?osq=Restaurants,$,5.0,86,['Greenwich Village'],,True,"126 MacDougal St New York, NY 10012"
Wah Fung No 1,/biz/wah-fung-no-1-new-york-2?osq=Restaurants,$,4.5,1970,['Lower East Side'],A,True,"79 Chrystie St New York, NY 10002"
Los Tacos No.1,/biz/los-tacos-no-1-new-york-3?osq=Restaurants,$,4.5,2618,['Theater District'],A,True,"229 W 43rd St New York, NY 10036"
Omusubi Gonbei,/biz/omusubi-gonbei-new-york-3?osq=Restaurants,$,4.5,105,['Midtown East'],,True,"370 Lexington Ave New York, NY 10017"
The Roadside Grill,/biz/the-roadside-grill-new-york-2?osq=Restaurants,$,4.5,16,['Upper East Side'],,True,"68th St and Lexington Ave New York, NY 10021"
Made In New York Pizza,/biz/made-in-new-york-pizza-new-york?osq=Restaurants,$,4.5,492,['Upper West Side'],A,True,"421 Amsterdam Ave New York, NY 10024"
Mila Cafe,/biz/mila-cafe-new-york?osq=Restaurants,$,4.0,156,['Upper West Side'],A,True,"694 Columbus Ave New York, NY 10025"
Pommes Frites,/biz/pommes-frites-new-york-2?osq=Restaurants,$,4.5,1097,['Greenwich Village'],A,True,"128 Macdougal St New York, NY 10012"
Joe’s Steam Rice Roll,/biz/joes-steam-rice-roll-new-york-5?osq=Restaurants,$,4.5,173,['Upper West Side'],A,True,"422 Amsterdam Ave New York, NY 10024"
Munchiez by Mei Lai Wah,/biz/munchiez-by-mei-lai-wah-new-york?osq=Restaurants,$,5.0,86,['Greenwich Village'],,True,"126 MacDougal St New York, NY 10012"
Wah Fung No 1,/biz/wah-fung-no-1-new-york-2?osq=Restaurants,$,4.5,1970,['Lower East Side'],A,True,"79 Chrystie St New York, NY 10002"
Roti Roll Bombay Frankie,/biz/roti-roll-bombay-frankie-new-york?osq=Restaurants,$,4.0,412,['Manhattan Valley'],,True,"994 Amsterdam Ave New York, NY 10025"
Casa Birria NYC,/biz/casa-birria-nyc-new-york?osq=Restaurants,$,5.0,88,['Yorkville'],,True,"86th & 3rd Ave New York, NY 10028"
Panchos,/biz/panchos-new-york-2?osq=Restaurants,$,4.5,70,['Manhattan Valley'],,True,"964 Amsterdam Ave New York, NY 10025"
Charlotte Cafe,/biz/charlotte-cafe-new-york-8?osq=Restaurants,$,4.5,235,['Upper West Side'],A,True,"2541 Broadway New York, NY 10025"
Joe’s Pizza,/biz/joes-pizza-new-york-148?osq=Restaurants,$,4.0,1778,['Theater District'],A,True,"1435 Broadway New York, NY 10018"
Elma’s,/biz/elmas-new-york?osq=Restaurants,$,4.5,33,['East Harlem'],,True,"1590 Park Ave New York, NY 10029"
Lechonera La Isla,/biz/lechonera-la-isla-new-york?osq=Restaurants,$,4.5,94,['East Harlem'],A,True,"254 E 125th St New York, NY 10035"
Woorijip,/biz/woorijip-new-york-2?osq=Restaurants,$,4.0,2824,['Koreatown'],A,True,"12 W 32nd St New York, NY 10001"
DokoDemo,/biz/dokodemo-new-york?osq=Restaurants,$,4.5,374,['East Village'],A,True,"89 E 4th St New York, NY 10003"
Cheeky Sandwiches,/biz/cheeky-sandwiches-new-york?osq=Restaurants,$,4.5,1349,['Lower East Side'],Grade Pending,True,"119 Essex St New York, NY 10002"
Los Tacos No.1,/biz/los-tacos-no-1-new-york-3?osq=Restaurants,$,4.5,2618,['Theater District'],A,True,"229 W 43rd St New York, NY 10036"
Omusubi Gonbei,/biz/omusubi-gonbei-new-york-3?osq=Restaurants,$,4.5,105,['Midtown East'],,True,"370 Lexington Ave New York, NY 10017"
The Roadside Grill,/biz/the-roadside-grill-new-york-2?osq=Restaurants,$,4.5,16,['Upper East Side'],,True,"68th St and Lexington Ave New York, NY 10021"
Made In New York Pizza,/biz/made-in-new-york-pizza-new-york?osq=Restaurants,$,4.5,492,['Upper West Side'],A,True,"421 Amsterdam Ave New York, NY 10024"
Mila Cafe,/biz/mila-cafe-new-york?osq=Restaurants,$,4.0,156,['Upper West Side'],A,True,"694 Columbus Ave New York, NY 10025"
Pommes Frites,/biz/pommes-frites-new-york-2?osq=Restaurants,$,4.5,1097,['Greenwich Village'],A,True,"128 Macdougal St New York, NY 10012"
Joe’s Steam Rice Roll,/biz/joes-steam-rice-roll-new-york-5?osq=Restaurants,$,4.5,173,['Upper West Side'],A,True,"422 Amsterdam Ave New York, NY 10024"
Munchiez by Mei Lai Wah,/biz/munchiez-by-mei-lai-wah-new-york?osq=Restaurants,$,5.0,86,['Greenwich Village'],,True,"126 MacDougal St New York, NY 10012"
Wah Fung No 1,/biz/wah-fung-no-1-new-york-2?osq=Restaurants,$,4.5,1970,['Lower East Side'],A,True,"79 Chrystie St New York, NY 10002"
Roti Roll Bombay Frankie,/biz/roti-roll-bombay-frankie-new-york?osq=Restaurants,$,4.0,412,['Manhattan Valley'],,True,"994 Amsterdam Ave New York, NY 10025"
Casa Birria NYC,/biz/casa-birria-nyc-new-york?osq=Restaurants,$,5.0,88,['Yorkville'],,True,"86th & 3rd Ave New York, NY 10028"
Panchos,/biz/panchos-new-york-2?osq=Restaurants,$,4.5,70,['Manhattan Valley'],,True,"964 Amsterdam Ave New York, NY 10025"
Charlotte Cafe,/biz/charlotte-cafe-new-york-8?osq=Restaurants,$,4.5,235,['Upper West Side'],A,True,"2541 Broadway New York, NY 10025"
Joe’s Pizza,/biz/joes-pizza-new-york-148?osq=Restaurants,$,4.0,1778,['Theater District'],A,True,"1435 Broadway New York, NY 10018"
Elma’s,/biz/elmas-new-york?osq=Restaurants,$,4.5,33,['East Harlem'],,True,"1590 Park Ave New York, NY 10029"
Lechonera La Isla,/biz/lechonera-la-isla-new-york?osq=Restaurants,$,4.5,94,['East Harlem'],A,True,"254 E 125th St New York, NY 10035"
Woorijip,/biz/woorijip-new-york-2?osq=Restaurants,$,4.0,2824,['Koreatown'],A,True,"12 W 32nd St New York, NY 10001"
DokoDemo,/biz/dokodemo-new-york?osq=Restaurants,$,4.5,374,['East Village'],A,True,"89 E 4th St New York, NY 10003"
Cheeky Sandwiches,/biz/cheeky-sandwiches-new-york?osq=Restaurants,$,4.5,1349,['Lower East Side'],Grade Pending,True,"119 Essex St New York, NY 10002"
The Halal Guys,/biz/the-halal-guys-new-york-7?osq=Restaurants,$,3.5,425,['Upper West Side'],A,True,"720 Amsterdam Ave New York, NY 10025"
The Halal Guys,/biz/the-halal-guys-new-york-2?osq=Restaurants,$,4.0,10282,['Theater District'],,True,"W 53rd Street And 6th Ave New York, NY 10019"
Best Bagel &amp; Coffee,/biz/best-bagel-and-coffee-new-york?osq=Restaurants,$,4.5,4361,['Midtown West'],A,True,"225 W 35th St New York, NY 10001"
Fong On,/biz/fong-on-new-york?osq=Restaurants,$,4.5,236,['Chinatown'],,True,"81 Division St New York, NY 10002"
Doaba Deli,/biz/doaba-deli-new-york-2?osq=Restaurants,$,4.5,247,['Manhattan Valley'],N/A,True,"945 Columbus Ave New York, NY 10025"
Liz’s Place,/biz/lizs-place-new-york?osq=Restaurants,$,4.0,7,['Morningside Heights'],,True,"607 W 116th St Fl 1 Barnard College New York, NY 10027"
Maru 2,/biz/maru-2-new-york-4?osq=Restaurants,$,4.5,160,['Chelsea'],,True,"267 W 17th St New York, NY 10011"
Lolita’s Kitchen,/biz/lolitas-kitchen-new-york?osq=Restaurants,$,4.0,135,['Upper East Side'],,True,"1364 Lexington Ave New York, NY 10128"
Lisa’s Dumplings,/biz/lisas-dumplings-new-york?osq=Restaurants,$,4.0,105,['Upper West Side'],,True,"57th St & 8th Ave New York, NY 10019"
Los Tacos No. 1,/biz/los-tacos-no-1-new-york-7?osq=Restaurants,$,4.5,163,['Midtown East'],A,True,"125 Park Ave New York, NY 10017"
Los Tacos No.1,/biz/los-tacos-no-1-new-york-3?osq=Restaurants,$,4.5,2618,['Theater District'],A,True,"229 W 43rd St New York, NY 10036"
Omusubi Gonbei,/biz/omusubi-gonbei-new-york-3?osq=Restaurants,$,4.5,105,['Midtown East'],,True,"370 Lexington Ave New York, NY 10017"
The Roadside Grill,/biz/the-roadside-grill-new-york-2?osq=Restaurants,$,4.5,16,['Upper East Side'],,True,"68th St and Lexington Ave New York, NY 10021"
Banh,/biz/banh-new-york-3?osq=Restaurants,$$,4.5,192,['Manhattan Valley'],Not Yet Graded,True,"942 Amsterdam Ave New York, NY 10025"
